date,RefSt,Sensor_O3,Temp,RelHum,Sensor_NO2,Sensor_NO,Sensor_SO2
2017-08-06T00:00,30.0,1276607,17.0,67.0,2.0,1.0,1.0
2017-08-06T02:00,31.0,1068517,17.13,66.17,6.0,1.0,1.0
2017-08-06T03:00,25.0,1012080,17.0,67.0,4.0,1.0,1.0
2017-08-06T04:00,31.0,732690,17.0,66.8,13.0,1.0,1.0
2017-08-06T05:00,32.0,1361603,18.0,65.6,8.0,1.0,1.0
2017-08-06T06:00,34.0,1006837,18.53,61.63,8.0,1.0,1.0
2017-08-06T07:00,46.0,1378947,23.83,45.23,7.0,1.0,1.0
2017-08-06T08:00,53.0,1774350,29.53,32.6,7.0,1.0,1.0
2017-08-06T09:00,83.0,2855873,28.37,31.97,8.0,2.0,1.0
2017-08-06T10:00,94.0,4410773,28.23,32.33,7.0,3.0,1.0
2017-08-06T11:00,103.0,4322733,29.57,31.0,4.0,1.0,1.0
2017-08-06T12:00,115.0,4484243,32.43,29.57,2.0,1.0,1.0
2017-08-06T13:00,110.0,4397690,34.43,27.53,2.0,1.0,1.0
2017-08-06T14:00,120.0,4482290,33.2,28.4,1.0,1.0,1.0
2017-08-06T15:00,148.0,4865007,33.0,28.6,2.0,1.0,1.0
2017-08-06T16:00,137.0,5037313,31.23,30.63,3.0,2.0,1.0
2017-08-06T17:00,117.0,4424317,29.6,33.0,3.0,1.0,1.0
2017-08-06T18:00,103.0,4244787,26.27,39.0,3.0,1.0,1.0
2017-08-06T19:00,84.0,4160383,23.47,45.13,4.0,1.0,1.0
2017-08-06T20:00,74.0,3428187,21.0,52.0,9.0,5.0,1.0
2017-08-06T21:00,62.0,3238603,19.4,60.8,7.0,2.0,1.0
2017-08-06T22:00,45.0,2902443,18.1,65.8,5.0,1.0,1.0
2017-08-06T23:00,43.0,2097980,18.0,67.53,9.0,1.0,1.0
2017-06-17T00:00,33.0,525780,21.67,47.23,43.0,2.0,4.0
2017-06-17T02:00,22.0,411590,20.23,50.5,28.0,2.0,1.0
2017-06-17T03:00,23.0,417107,19.0,65.43,25.0,2.0,1.0
2017-06-17T04:00,19.0,360943,18.8,67.47,23.0,3.0,1.0
2017-06-17T05:00,16.0,383047,18.1,66.9,24.0,2.0,1.0
2017-06-17T06:00,31.0,369443,26.17,46.63,22.0,3.0,1.0
2017-06-17T07:00,54.0,486683,31.57,32.2,22.0,5.0,2.0
2017-06-17T08:00,87.0,1394987,33.73,29.57,21.0,4.0,3.0
2017-06-17T09:00,125.0,2890040,35.63,27.6,20.0,4.0,3.0
2017-06-17T10:00,128.0,4095893,33.93,28.73,15.0,3.0,3.0
2017-06-17T11:00,116.0,4530220,36.17,26.8,8.0,3.0,4.0
2017-06-17T12:00,117.0,3427383,37.0,26.07,6.0,3.0,4.0
2017-06-17T13:00,113.0,2946833,38.0,25.97,9.0,3.0,3.0
2017-06-17T14:00,122.0,3108937,37.83,25.87,7.0,2.0,3.0
2017-06-17T15:00,116.0,3633953,37.13,26.0,8.0,2.0,3.0
2017-06-17T16:00,115.0,3733013,36.1,26.9,8.0,12.0,2.0
2017-06-17T17:00,117.0,3871583,35.2,27.2,8.0,13.0,2.0
2017-06-17T18:00,117.0,3874303,33.33,28.0,9.0,3.0,2.0
2017-06-17T19:00,106.0,4306243,30.33,29.63,11.0,2.0,2.0
2017-06-17T20:00,98.0,3025843,26.33,33.83,10.0,2.0,1.0
2017-06-17T21:00,64.0,2767047,24.13,42.43,21.0,2.0,3.0
2017-06-17T22:00,65.0,1425203,23.03,43.4,17.0,3.0,4.0
2017-06-17T23:00,51.0,922083,21.5,42.07,24.0,2.0,3.0
2017-06-18T00:00,56.0,1132867,20.67,41.17,20.0,3.0,1.0
2017-06-18T02:00,38.0,596270,18.07,50.47,15.0,3.0,1.0
2017-06-18T03:00,29.0,893547,18.0,52.4,21.0,2.0,1.0
2017-06-18T04:00,24.0,527893,17.0,58.53,15.0,3.0,1.0
2017-06-18T05:00,37.0,567317,17.07,60.27,17.0,3.0,1.0
2017-06-18T06:00,36.0,511663,26.03,36.07,18.0,2.0,1.0
2017-06-18T07:00,61.0,908660,29.9,30.73,14.0,2.0,1.0
2017-06-18T08:00,85.0,1803640,32.1,29.1,14.0,3.0,2.0
2017-06-18T09:00,118.0,3563214,34.59,27.41,13.0,3.0,2.0
2017-06-18T10:00,119.0,3719973,31.43,29.0,10.0,3.0,3.0
2017-06-18T11:00,121.0,4022760,33.7,28.0,7.0,3.0,3.0
2017-06-18T12:00,119.0,3943073,35.43,27.03,8.0,3.0,4.0
2017-06-18T13:00,122.0,4001673,37.43,26.0,7.0,2.0,3.0
2017-06-18T14:00,124.0,4227550,37.2,26.0,5.0,2.0,4.0
2017-06-18T15:00,171.0,4682780,37.83,26.0,7.0,2.0,3.0
2017-06-18T16:00,179.0,5017760,36.2,26.77,7.0,2.0,3.0
2017-06-18T17:00,157.0,4473393,35.0,27.0,12.0,2.0,4.0
2017-06-18T18:00,133.0,3946010,32.77,28.33,10.0,3.0,4.0
2017-06-18T19:00,119.0,4284947,29.63,30.0,11.0,3.0,4.0
2017-06-18T20:00,105.0,4627137,26.77,31.3,13.0,2.0,3.0
2017-06-18T21:00,82.0,3601110,25.43,32.0,12.0,2.0,2.0
2017-06-18T22:00,69.0,2302793,24.0,33.43,17.0,2.0,2.0
2017-06-18T23:00,60.0,1766713,22.1,35.63,20.0,2.0,2.0
2017-06-19T00:00,56.0,1590610,21.0,39.57,18.0,2.0,2.0
2017-06-19T02:00,49.0,1149100,18.3,47.17,17.0,4.0,1.0
2017-06-19T03:00,32.0,1160700,17.9,50.43,16.0,3.0,1.0
2017-06-19T04:00,30.0,677193,17.0,56.13,18.0,3.0,1.0
2017-06-19T05:00,26.0,625733,17.0,54.63,24.0,3.0,1.0
2017-06-19T06:00,35.0,602473,26.77,34.4,29.0,4.0,1.0
2017-06-19T07:00,51.0,616873,29.03,31.13,27.0,4.0,1.0
2017-06-19T08:00,98.0,1616070,32.63,28.8,29.0,7.0,3.0
2017-06-19T09:00,121.0,3599770,34.23,27.57,25.0,5.0,4.0
2017-06-19T10:00,129.0,4555033,32.2,28.7,11.0,3.0,2.0
2017-06-19T11:00,113.0,4706410,34.17,27.83,13.0,3.0,3.0
2017-06-19T12:00,135.0,4717173,34.97,27.03,11.0,3.0,2.0
2017-06-19T13:00,124.0,4580770,34.87,27.17,12.0,3.0,1.0
2017-06-19T14:00,124.0,4378463,34.1,27.9,10.0,3.0,1.0
2017-06-19T15:00,122.0,4158757,33.83,28.03,10.0,2.0,1.0
2017-06-19T16:00,122.0,4352687,33.0,28.0,9.0,2.0,1.0
2017-06-19T17:00,116.0,3799114,32.0,29.0,11.0,3.0,1.0
2017-06-19T18:00,111.0,3747123,30.1,29.9,14.0,2.0,1.0
2017-06-19T19:00,109.0,3790513,27.63,32.27,13.0,2.0,1.0
2017-06-19T20:00,95.0,3514677,25.43,37.03,15.0,2.0,1.0
2017-06-19T21:00,79.0,2913500,24.0,43.37,17.0,2.0,2.0
2017-06-19T22:00,63.0,2068927,24.0,45.97,19.0,3.0,2.0
2017-06-19T23:00,45.0,1705980,22.77,50.8,24.0,3.0,2.0
2017-06-20T00:00,37.0,604663,21.57,50.07,23.0,2.0,2.0
2017-06-20T02:00,30.0,501593,19.87,65.4,21.0,3.0,1.0
2017-06-20T03:00,17.0,448147,18.93,66.5,22.0,3.0,1.0
2017-06-20T04:00,11.0,392660,18.0,69.3,21.0,2.0,1.0
2017-06-20T05:00,9.0,349347,18.0,66.37,24.0,3.0,1.0
2017-06-20T06:00,22.0,322777,26.03,45.43,32.0,4.0,1.0
2017-06-20T07:00,43.0,509223,29.47,33.93,36.0,14.0,2.0
2017-06-20T08:00,92.0,1650303,33.03,29.72,31.0,10.0,3.0
2017-06-20T09:00,106.0,3433143,34.5,27.53,24.0,5.0,3.0
2017-06-20T10:00,120.0,3937120,31.87,30.0,10.0,3.0,4.0
2017-06-20T11:00,112.0,3668170,34.1,28.07,13.0,3.0,2.0
2017-06-20T12:00,120.0,3272330,35.93,26.83,9.0,3.0,2.0
2017-06-20T13:00,132.0,3707080,36.37,26.5,9.0,3.0,2.0
2017-06-20T14:00,144.0,3799953,36.0,26.77,8.0,2.0,3.0
2017-06-20T15:00,149.0,4384383,36.23,26.77,9.0,3.0,3.0
2017-06-20T16:00,139.0,4571383,35.0,27.0,14.0,3.0,3.0
2017-06-20T17:00,126.0,4877437,32.0,28.67,14.0,3.0,2.0
2017-06-20T18:00,105.0,3810517,28.53,30.47,14.0,4.0,1.0
2017-06-20T19:00,97.0,3932880,25.7,33.73,19.0,3.0,1.0
2017-06-20T20:00,79.0,3129330,24.0,39.17,14.0,3.0,2.0
2017-06-20T21:00,63.0,1981887,23.0,45.87,14.0,3.0,2.0
2017-06-20T22:00,51.0,1698083,22.0,49.33,13.0,2.0,2.0
2017-06-20T23:00,49.0,1604163,21.0,48.57,10.0,3.0,2.0
2017-06-21T00:00,42.0,1329747,20.73,52.53,10.0,3.0,2.0
2017-06-21T02:00,40.0,744060,19.0,58.3,15.0,2.0,1.0
2017-06-21T03:00,22.0,1099083,18.33,60.73,16.0,2.0,1.0
2017-06-21T04:00,25.0,414587,18.0,62.0,13.0,2.0,1.0
2017-06-21T05:00,15.0,683540,18.07,61.47,20.0,3.0,1.0
2017-06-21T06:00,19.0,348593,25.5,42.43,23.0,3.0,1.0
2017-06-21T07:00,34.0,436993,29.41,32.07,26.0,6.0,1.0
2017-06-21T08:00,67.0,813140,31.13,30.27,25.0,10.0,3.0
2017-06-21T09:00,100.0,2987056,33.0,28.11,27.0,7.0,3.0
2017-06-21T10:00,124.0,3513267,33.43,28.13,16.0,5.0,3.0
2017-06-21T11:00,121.0,3302337,35.83,26.97,10.0,3.0,4.0
2017-06-21T12:00,115.0,3050220,38.87,25.27,8.0,3.0,4.0
2017-06-21T13:00,86.0,4076373,20.57,56.83,8.0,3.0,4.0
2017-06-21T14:00,56.0,2596717,20.0,68.0,9.0,3.0,2.0
2017-06-21T15:00,48.0,1354530,21.47,64.33,22.0,7.0,1.0
2017-06-21T16:00,51.0,905667,24.0,59.47,25.0,3.0,1.0
2017-06-21T17:00,60.0,1297387,24.2,55.1,25.0,11.0,2.0
2017-06-21T18:00,60.0,1400640,24.0,54.67,22.0,4.0,3.0
2017-06-21T19:00,44.0,951857,23.27,57.1,25.0,3.0,2.0
2017-06-21T20:00,20.0,928713,21.07,65.33,31.0,3.0,2.0
2017-06-21T21:00,6.0,302670,21.0,67.33,32.0,2.0,1.0
2017-06-21T22:00,3.0,279086,20.0,75.72,40.0,4.0,1.0
2017-06-21T23:00,2.0,256373,20.0,79.17,25.0,3.0,1.0
2017-06-22T00:00,4.0,272787,18.87,78.37,21.0,4.0,1.0
2017-06-22T02:00,1.0,241397,18.0,77.7,22.0,2.0,1.0
2017-06-22T03:00,1.0,246473,18.0,76.97,19.0,10.0,1.0
2017-06-22T04:00,1.0,242290,18.0,77.43,20.0,7.0,1.0
2017-06-22T05:00,1.0,246133,18.2,76.8,19.0,12.0,1.0
2017-06-22T06:00,6.0,238043,19.47,77.5,24.0,8.0,1.0
2017-06-22T08:00,32.0,323463,29.17,45.93,22.0,14.0,1.0
2017-06-22T09:00,67.0,621357,32.6,38.13,25.0,21.0,2.0
2017-06-22T10:00,103.0,1869970,31.77,39.6,22.0,9.0,2.0
2017-06-22T11:00,117.0,3032340,35.93,30.73,17.0,5.0,2.0
2017-06-22T12:00,133.0,3429050,37.97,26.87,15.0,3.0,3.0
2017-06-22T13:00,176.0,4383617,39.03,25.83,10.0,3.0,3.0
2017-06-22T14:00,203.0,6368563,35.9,27.07,12.0,4.0,3.0
2017-06-22T15:00,132.0,5443303,28.4,35.03,15.0,3.0,2.0
2017-06-22T16:00,97.0,3570648,26.0,44.93,18.0,3.0,2.0
2017-06-22T17:00,72.0,2048983,25.6,47.8,24.0,3.0,2.0
2017-06-22T18:00,52.0,1702757,25.57,51.03,36.0,3.0,2.0
2017-06-22T19:00,30.0,632213,24.83,54.57,33.0,3.0,1.0
2017-06-22T20:00,23.0,413290,24.0,63.97,37.0,3.0,2.0
2017-06-22T21:00,9.0,326460,23.03,66.3,30.0,2.0,1.0
2017-06-22T22:00,15.0,283960,22.0,69.27,27.0,3.0,1.0
2017-06-22T23:00,12.0,279373,21.53,68.57,31.0,3.0,1.0
2017-06-23T00:00,14.0,303957,21.0,70.0,27.0,3.0,1.0
2017-06-23T02:00,1.0,248617,19.37,74.77,26.0,4.0,1.0
2017-06-23T03:00,1.0,240943,19.0,78.27,26.0,5.0,1.0
2017-06-23T04:00,1.0,242653,18.0,82.4,22.0,10.0,1.0
2017-06-23T05:00,3.0,242840,18.23,82.0,20.0,7.0,1.0
2017-06-23T06:00,5.0,250207,19.6,80.97,23.0,9.0,1.0
2017-06-23T07:00,12.0,262921,25.38,64.38,22.0,18.0,1.0
2017-06-23T08:00,36.0,376890,30.57,43.17,22.0,18.0,2.0
2017-06-23T09:00,80.0,1179297,34.07,32.1,28.0,18.0,3.0
2017-06-23T10:00,119.0,3158380,33.57,32.17,24.0,7.0,4.0
2017-06-23T11:00,147.0,3949390,35.97,28.03,16.0,4.0,4.0
2017-06-23T12:00,170.0,4578423,38.03,26.97,12.0,4.0,5.0
2017-06-23T13:00,164.0,4764873,39.23,24.93,15.0,4.0,5.0
2017-06-23T14:00,205.0,5413257,38.67,25.33,13.0,2.0,5.0
2017-06-23T15:00,183.0,5589123,37.4,26.23,15.0,3.0,5.0
2017-06-23T16:00,170.0,4873723,36.73,27.17,17.0,3.0,5.0
2017-06-23T17:00,145.0,4339453,36.03,27.83,18.0,3.0,3.0
2017-06-23T18:00,121.0,3398383,34.1,28.7,19.0,3.0,3.0
2017-06-23T19:00,96.0,3091833,30.27,32.33,24.0,3.0,3.0
2017-06-23T20:00,80.0,2253317,28.0,38.3,27.0,4.0,3.0
2017-06-23T21:00,70.0,1782633,26.43,41.6,33.0,2.0,4.0
2017-06-23T22:00,45.0,1440530,25.33,43.27,29.0,2.0,5.0
2017-06-23T23:00,38.0,537390,24.0,47.0,26.0,2.0,8.0
2017-06-24T00:00,29.0,817820,22.9,51.87,35.0,4.0,6.0
2017-06-24T02:00,20.0,386740,20.0,59.63,33.0,3.0,4.0
2017-06-24T03:00,14.0,350787,19.63,66.8,29.0,4.0,1.0
2017-06-24T04:00,11.0,310727,19.33,67.0,29.0,2.0,1.0
2017-06-24T05:00,12.0,314300,19.57,67.1,29.0,4.0,1.0
2017-06-24T06:00,22.0,320063,25.47,48.63,25.0,3.0,1.0
2017-06-24T07:00,36.0,476150,29.93,41.53,23.0,6.0,2.0
2017-06-24T08:00,83.0,994277,32.87,35.9,17.0,6.0,2.0
2017-06-24T09:00,107.0,3171400,34.3,29.33,18.0,6.0,2.0
2017-06-24T10:00,128.0,3994183,32.87,30.53,10.0,3.0,2.0
2017-06-24T11:00,136.0,4595813,34.5,28.5,9.0,2.0,3.0
2017-06-24T12:00,150.0,4713033,35.93,28.0,8.0,3.0,4.0
2017-06-24T13:00,178.0,5186803,36.37,27.63,10.0,2.0,4.0
2017-06-24T14:00,160.0,4662773,35.77,29.1,10.0,2.0,3.0
2017-06-24T15:00,149.0,4299030,35.3,30.03,12.0,3.0,4.0
2017-06-24T16:00,136.0,4160160,33.7,30.97,11.0,2.0,3.0
2017-06-24T17:00,119.0,3956617,31.0,33.73,10.0,2.0,2.0
2017-06-24T18:00,108.0,3144813,30.83,35.0,10.0,4.0,3.0
2017-06-24T19:00,97.0,2983620,28.63,40.67,9.0,3.0,2.0
2017-06-24T20:00,86.0,2940197,26.43,44.57,10.0,3.0,3.0
2017-06-24T21:00,68.0,2303373,25.33,46.4,13.0,2.0,4.0
2017-06-24T22:00,40.0,1224747,24.0,51.6,16.0,3.0,3.0
2017-06-24T23:00,42.0,573690,24.0,53.97,21.0,2.0,3.0
2017-06-25T00:00,52.0,1069240,23.0,56.37,23.0,3.0,3.0
2017-06-25T02:00,32.0,795350,21.4,62.57,18.0,2.0,1.0
2017-06-25T03:00,32.0,785750,21.0,62.13,16.0,8.0,1.0
2017-06-25T04:00,24.0,626013,21.0,68.23,15.0,2.0,1.0
2017-06-25T05:00,15.0,475843,21.0,74.87,15.0,2.0,1.0
2017-06-25T06:00,24.0,363583,21.4,74.0,13.0,3.0,1.0
2017-06-25T07:00,35.0,500220,24.0,65.4,16.0,4.0,1.0
2017-06-25T08:00,42.0,566597,24.47,61.5,13.0,4.0,1.0
2017-06-25T09:00,57.0,985217,27.86,48.03,11.0,4.0,1.0
2017-06-25T10:00,62.0,1675583,26.13,52.53,12.0,2.0,1.0
2017-06-25T11:00,61.0,1582130,25.83,56.57,10.0,3.0,2.0
2017-06-25T12:00,63.0,2351520,24.27,61.23,9.0,3.0,1.0
2017-06-25T13:00,69.0,1857513,27.23,52.3,8.0,2.0,1.0
2017-06-25T14:00,87.0,2122213,29.0,47.73,12.0,2.0,1.0
2017-06-25T15:00,104.0,2731560,31.83,42.27,8.0,3.0,1.0
2017-06-25T16:00,105.0,2884153,31.27,42.43,8.0,3.0,1.0
2017-06-25T17:00,100.0,3231823,29.47,43.9,9.0,3.0,1.0
2017-06-25T18:00,103.0,3302113,28.6,44.4,10.0,2.0,1.0
2017-06-25T19:00,81.0,2804270,26.5,47.3,11.0,1.0,1.0
2017-06-25T20:00,72.0,2187253,25.0,53.73,17.0,2.0,1.0
2017-06-25T21:00,49.0,1895973,24.0,59.0,20.0,3.0,1.0
2017-06-25T22:00,42.0,1187173,23.0,65.2,23.0,2.0,1.0
2017-06-25T23:00,34.0,879587,23.0,64.07,22.0,2.0,1.0
2017-06-26T00:00,17.0,493703,22.17,68.1,18.0,3.0,1.0
2017-06-26T02:00,14.0,369760,21.0,71.13,23.0,2.0,1.0
2017-06-26T03:00,18.0,336453,21.0,72.37,20.0,2.0,1.0
2017-06-26T04:00,4.0,317147,21.0,74.3,20.0,3.0,1.0
2017-06-26T05:00,6.0,247677,20.77,73.1,21.0,3.0,1.0
2017-06-26T06:00,5.0,260207,21.0,73.23,25.0,7.0,1.0
2017-06-26T07:00,8.0,236233,21.0,73.47,23.0,8.0,1.0
2017-06-26T08:00,25.0,292093,24.73,63.4,28.0,14.0,2.0
2017-06-26T09:00,71.0,896677,31.1,42.27,27.0,16.0,2.0
2017-06-26T13:00,119.0,3886827,34.4,28.3,9.0,3.0,3.0
2017-06-26T14:00,138.0,5789003,33.2,28.23,11.0,3.0,3.0
2017-06-26T15:00,146.0,5997140,33.57,28.17,11.0,3.0,3.0
2017-06-26T17:00,120.0,5987817,30.33,29.7,11.0,3.0,2.0
2017-06-26T18:00,110.0,5545879,29.0,30.0,16.0,3.0,2.0
2017-06-26T19:00,99.0,5027230,28.0,31.0,17.0,3.0,2.0
2017-06-26T20:00,82.0,3746327,26.3,32.6,18.0,2.0,2.0
2017-06-26T21:00,79.0,3149080,24.97,33.97,20.0,3.0,2.0
2017-06-26T22:00,65.0,2319850,23.4,38.4,18.0,3.0,2.0
2017-06-26T23:00,56.0,1824797,22.0,45.17,18.0,3.0,3.0
2017-06-27T00:00,56.0,1535500,21.0,48.87,19.0,3.0,3.0
2017-06-27T02:00,46.0,1917570,19.0,52.6,10.0,3.0,2.0
2017-06-27T03:00,27.0,1349933,18.43,54.3,12.0,2.0,2.0
2017-06-27T04:00,14.0,441750,17.47,61.1,18.0,3.0,1.0
2017-06-27T05:00,20.0,458450,17.63,66.93,21.0,2.0,1.0
2017-06-27T06:00,27.0,496467,25.17,44.93,22.0,3.0,1.0
2017-06-27T07:00,40.0,610330,28.03,38.03,27.0,5.0,1.0
2017-06-27T08:00,67.0,1002637,30.8,34.1,21.0,6.0,2.0
2017-06-27T09:00,91.0,2844090,33.38,29.45,22.0,6.0,2.0
2017-06-27T10:00,112.0,3439660,31.37,31.5,11.0,5.0,3.0
2017-06-27T11:00,128.0,4235417,33.37,29.27,9.0,3.0,3.0
2017-06-27T12:00,133.0,4897783,33.03,30.13,11.0,2.0,2.0
2017-06-27T13:00,122.0,5018540,32.27,30.67,12.0,3.0,2.0
2017-06-27T14:00,123.0,5020603,31.57,30.07,11.0,3.0,2.0
2017-06-27T15:00,111.0,4804343,31.17,30.67,10.0,3.0,2.0
2017-06-27T16:00,107.0,4576003,29.57,32.0,10.0,3.0,2.0
2017-06-27T17:00,98.0,4203553,26.8,40.37,11.0,3.0,2.0
2017-06-27T18:00,90.0,3304517,26.73,44.23,11.0,3.0,2.0
2017-06-27T19:00,82.0,3290153,25.3,45.73,14.0,3.0,2.0
2017-06-27T20:00,87.0,2598953,24.0,48.0,17.0,3.0,2.0
2017-06-27T21:00,55.0,1854093,23.73,49.4,19.0,2.0,3.0
